Days since 12/13/2021,COVID_Count
1,4579
2,4602
3,4641
4,4642
5,4714
6,4806
7,4902
8,5073
9,5205
10,5387
11,5637
12,5896
13,6164
14,6497
15,6923
16,7431
17,7975
18,8609
19,9248
20,9919
21,10603
22,11301
23,11905
24,12523
25,13088
26,13599
27,14094
28,14558
29,14873
30,15180
31,15476
32,15668
33,15816
34,15933
35,15990
36,15989
37,15914
38,15711
39,15502
40,15330
41,15021
42,14750
43,14540
44,14329
45,14144
46,13900
47,13653
48,13443
49,13206
50,12959
51,12760
52,12525
53,12355
54,12073
55,11810
56,11502
57,11161
58,10739
59,10308
60,9875
61,9447
62,9032
63,8665
64,8262
65,7932
66,7579
67,7244
68,6981
69,6722
70,6457
71,6218
72,5978
73,5773
74,5580
75,5340
76,5156
77,4968
78,4822
79,4622
80,4427
81,4229
82,4088
83,3921
84,3747
85,3564
86,3423
87,3310
88,3197
89,3091
90,2984
91,2906
92,2812
93,2735
94,2664
95,2601
96,2538
97,2465
98,2385
99,2319
100,2212
101,2117
102,2027
103,1944
104,1893
105,1818
106,1761
107,1755
108,1736
109,1745
110,1748
111,1751
112,1771
113,1777
114,1769
115,1761
116,1731
117,1723
118,1709
119,1738
120,1777
121,1827
122,1898
123,1974
124,2029
125,2094
126,2147
